sample	bacterial_archaeal_bases	metagenome_size	read_fraction	average_bacterial_archaeal_genome_size	warning
SAMEA103892570	330063488	529000000.0	62.39	4504756	
SAMEA103892581	474183530	731000000.0	64.87	4622573	
SAMEA103892512	718797759	1183000000.0	60.76	4514211	
SAMEA103892568	323192829	570000000.0	56.70	4852745	
SAMEA103892510	396309952	587000000.0	67.51	4584268	
SAMEA103892518	616037226	890000000.0	69.22	4332798	
SAMEA103892474	6070841476	9060000000.0	67.01	4485888	
SAMEA103892605	2998824324	4183000000.0	71.69	5079051	
SAMEA103892515	1431251851	2082000000.0	68.74	5023523	
SAMEA103892502	336960253	537000000.0	62.75	3921334	
SAMEA103892488	300977265	500000000.0	60.20	4222464	
SAMEA103892579	257098910	386000000.0	66.61	4442698	
SAMEA103892435	644330337	1287000000.0	50.06	5150934	
SAMEA103892495	6422074166	8959000000.0	71.68	4857113	
SAMEA103892492	297041042	503000000.0	59.05	4906525	
SAMEA103892547	273930891	584000000.0	46.91	4996004	
SAMEA103892465	2639272561	8697000000.0	30.35	5508584	
SAMEA103892498	270706630	450000000.0	60.16	4563497	
SAMEA103892522	519135180	827000000.0	62.77	4737499	
SAMEA103892505	368466265	541000000.0	68.11	4442029	
SAMEA103892602	467403078	882000000.0	52.99	5238183	
SAMEA103892464	2668016211	5670000000.0	47.05	5261322	
SAMEA103892573	342646134	544000000.0	62.99	5024137	
